Object ID,APN - Assessor's Parcel Number,Full Address,Agency Owner Name,Agency Type,Use Type,Use Description,Zip Code,Tax Rate Area,Tax Rate City,Agency Class No,Use Code,Use Code 2,Design Type 1,Year Built,Effective Year,Units,Bedrooms,Bathrooms,Square Feet Main,Design Type 2,Year Built 2,Effective Year 2,Units 2,Bedrooms 2,Bathrooms 2,Square Feet Main 2,Design Type 3,Year Built 3,Effective Year 3,Units 3,Bedrooms 3,Bathrooms 3,Square Feet Main 3,Design Type 4,Year Built 4,Effective Year 4,Units 4,Bedrooms 4,Bathrooms 4,Design Type 5,Year Built 5,Effective Year 5,Units 5,Bedrooms 5,Bathrooms 5,Square Feet Main 5,Roll Year,Roll Land Value,Roll Improvement Value,Roll Pers Prop Value,Roll Fixture Value,Roll Home Owners Exemption,Roll Real Estate Exemption,Roll Pers Prop Exemption,Roll Fixture Exemption,Roll Land Base Year,Roll Imp Base Year,Quality Class 1,Quality Class 2,Quality Class 3,Quality Class 4,Quality Class 5,Spatial Change Date,Parcel Create Date,Parcel Type Code,Assessor Map,Assessor IndexMap,Legal Description Line 1,Legal Description Line 2,Legal Description Line 3,Legal Description Line 4,Legal Description Line 5,Legal Description Line Last,Shape,CENTER LON,CENTER X,CENTER Y,Location 1,LAT LON
"6,389",5171-015-902,"651 S MISSION RD LOS ANGELES CA 90033
(34.036356, -118.226254)",L A City,LA City,Government,Government Parcel,90033,12703,LOS ANGELES,236000,8800,88,8000,2015,2015,0,0,0,"4,708",,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,0,0,CX,,,,,1449650309000,20010426,0,5171-015,5171-NDX,TR=207 FOR DESC SEE ASSESSOR'S MAPS,,,,,POR OF LOTS 2 AND 4,34,-118,"6,493,054","1,835,725","651 S MISSION RD
LOS ANGELES CA","34.036453, -118.226467"
"10,024",5205-010-901,"2665 ARTESIAN ST LOS ANGELES CA 90031
(34.080694, -118.218855)",L A City,LA City,Government,Government Parcel,90031-1805,4,LOS ANGELES,236000,8800,88,3800,1960,1960,0,0,0,0,1800,"1,964","1,964",0,0,0,"5,200",3100,"1,964","1,966",0,0,0,"10,504",,,,,,,,,,,,,,2016,,,,,,,,,0,0,,C5A,SX,,,,0,0,5205-010,5205-NDX,"M R 9-40*LEGAL DESC SEE DOC 584981,",,,,,850524 POR OF LOT    A,34,-118,"6,495,649","1,852,293","2665 ARTESIAN ST
LOS ANGELES CA
(34.080694, -118.218855)","34.081994, -118.218019"
"10,206",5205-003-901,,L A City,LA City,Government,Government Parcel,,4,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.084447, -118.218291"
"10,082",2216-013-901,,L A City S by S,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.197081, -118.439385"
"10,084",2216-015-900,,L A City S by S,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.197404, -118.438891"
"10,083",2216-014-900,,L A City,LA City,Commercial,Commercial,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14047 VANOWEN ST
(34.193942, -118.439376)","34.194430, -118.439391"
"10,085",2216-018-900,,L A City S by S,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.197556, -118.435986"
414,2240-002-900,"14415 SYLVAN ST LOS ANGELES CA 91401
(34.184656, -118.44713)",L A City,LA City,Government,Government Parcel,91401-2649,13,LOS ANGELES,236000,8823,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,0,0,,,,,,,0,0,2240-002,2240-NDX,"TRACT NO 1200 LOTS 33,34,35 AND",,,,,LOT   36 BLK   29,34,-118,"6,426,442","1,889,992","14415 SYLVAN ST
LOS ANGELES CA","34.184957, -118.447126"
"10,099",2218-018-900,,L A City,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.203280, -118.453089"
"10,086",2216-018-901,,L A City S by S,LA City,Government,Government Parcel,,13,LOS ANGELES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.194854, -118.436669"
