#,PSH Project Name,Developer,Address,CD,HCID Staff Assigned? Y/N,"Sub Stage
(Predevelopment, Loan Close, In Construction)",PEP,Homeless Population Served,HHH Project Award,Total Development Cost Approved in PEP,Updated Total Development Cost,TDC Per Unit,HHH Per Unit,Total Units,Total PSH Units,Construction Start Date Approved in PEP,Updated Constr. Start Date,NTP Issued,Est. Ready for Occupancy Date,Percent Complete,Received HHH Extension? Y/N,HHH Commitment Expiration,"HHH Commitment Expiration Date Plus Tolling Order
(April 17 - August 24)"
1,Cadence (fka 11408 S. Central),LINC Housing Corporation,11408 S CENTRAL AVE CA 90059,15,true,In Construction,Funding Authorization,"Homeless individuals
Chronically homeless","10,112,000",,"34,474,725","538,668","158,000",64,63,,05/15/2020,05/15/2020,05/13/2022,0.02,false,03/19/2021,
2,Los Lirios Apartments,BRIDGE Housing Corporation; BRIDGE Housing Corporation,119 S SOTO ST CA 90033,14,false,Predevelopment,TBD,"Homeless families
Homeless individuals
Low income families
Chronically homeless","2,000,000",,"35,719,050","558,110","31,250",64,20,,01/01/2022,,01/01/2024,0,false,03/19/2021,07/26/2021
3,Normandie 84,"Gospel Truth CDC, Inc.; Innovative Housing Opportunities; John Stanley, Inc.",8401 S NORMANDIE AVE CA 90044,8,false,Predevelopment,TBD,"Homeless senior
Low income senior 
Chronically homeless","8,180,000",,"18,149,299","432,126","194,762",42,34,,08/01/2021,,08/01/2024,0,false,03/19/2021,07/26/2021
4,Montesquieu (fka Rousseau Residences/Enlightenment Plaze - Phase I),Flexible PSH Solutions,316 N JUANITA AVE CA 90004,13,true,Predevelopment,TBD,"Homeless individuals
Homeless veterans
Chronically homeless","9,600,000",,"34,101,000","324,771","91,429",105,103,,04/19/2021,,04/19/2023,0,false,03/19/2021,07/26/2021
5,Santa Monica & Vermont Apartments Phase 1,"SMV Housing, L.P.",4718 W SANTA MONICA BLVD CA 90029,13,true,Predevelopment,TBD,"Homeless menal illness
Other homeless
Low income families
Non homeless individuals
Chronically homeless
Transition aged youth
Victims of domestic violence","12,000,000",,"53,270,603","566,709","127,660",94,47,,07/09/2021,,07/07/2023,0,false,03/19/2021,07/26/2021
6,Santa Monica & Vermont Apartments Phase 2,"SMV Housing, L.P.",4718 W SANTA MONICA BLVD CA 90029,13,true,Predevelopment,TBD,"Homeless menal illness
Other homeless
Low income families
Non homeless individuals
Chronically homeless
Transition aged youth
Victims of domestic violence","12,000,000",,"53,262,118","572,711","129,032",93,47,,07/09/2021,,07/07/2023,0,false,03/19/2021,07/26/2021
7,Barry Apartments,"Affirmed Housing Group, Inc.",2454 S BARRY AVE CA 90064,11,false,Predevelopment,TBD,"Homeless individuals
Non homeless individuals
Chronically homeless","6,918,400",,"31,932,359","523,481","113,416",61,34,,10/15/2021,,10/15/2023,0,false,10/15/2021,02/21/2022
8,Vermont/Manchester,BRIDGE Housing Corporation; Coalition for Responsible Community Development,8400 S VERMONT AVE CA 90044,8,true,Predevelopment,TBD,"Homeless families
Homeless senior
Chronically homeless","12,400,000",,"43,845,034","243,584","68,889",180,90,,02/15/2021,,02/15/2023,0,false,02/08/2021,06/17/2021
9,Sherman Oaks Senior,Mercy Housing California,"14536 W BURBANK BLVD  VAN NUYS, CA 91411",4,true,Predevelopment,TBD,"Homeless senior
Homeless mental illness
Chronically homeless","11,880,000",,"29,409,086","534,711","216,000",55,54,,04/16/2021,,04/14/2023,0,false,03/19/2021,07/26/2021
10,West Terrace (fka Silver Star II),A Community of Friends,6576 S WEST BLVD CA 90043,8,true,Predevelopment,TBD,"Homeless families
Homeless individuals
Non homeless individuals
Chronically homeless","6,404,900",,"34,140,832","533,451","100,077",64,56,,04/16/2021,,04/14/2023,0,false,10/15/2021,02/21/2022
11,Sun King Apartments,MANY MANSIONS,"12128 SHELDON ST  Los Angeles, CA 91352",6,true,Predevelopment,TBD,"Homeless families
Chronically homeless","5,500,000",,"15,572,242","598,932","211,538",26,25,,04/16/2021,,04/14/2023,0,false,03/19/2021,07/26/2021
12,My Angel (fka The Angel),LA Family Housing,8547 N SEPULVEDA BLVD CA 91343,6,false,Predevelopment,TBD,"Homeless individuals
Homeless veterans
Chronically homeless","5,565,000",,"28,226,850","522,719","103,056",54,53,,11/15/2021,,11/15/2023,0,false,10/15/2021,02/21/2022
13,VA Building 207,"Thomas Safran and Associates Development, Inc.","11301 WILSHIRE BLVD  #207  Los Angeles, CA 90025",11,true,Predevelopment,TBD,"Homeless senior
Chronically homeless","8,260,000",,"34,248,777","570,813","137,667",60,59,,11/15/2020,,11/15/2022,0,false,10/15/2021,02/21/2022
14,Oak Apartments (fka 2745-2759 Francis Ave),Koreatown Youth and Community Center,2745 W FRANCIS AVE CA 90005,1,false,Predevelopment,TBD,"Homeless senior
Chronically homeless","6,610,000",,"30,851,806","482,059","103,281",64,63,,09/19/2021,,09/19/2022,0,false,10/15/2021,02/21/2022
15,4507 Main St.,EAH Inc.,4505 S MAIN ST CA 90037,9,false,Predevelopment,TBD,"Homeless individuals
Non homeless individuals
Chronically homeless","7,239,000",,"24,839,171","388,112","113,109",64,33,,11/15/2021,,11/15/2023,0,false,10/15/2021,02/21/2022
16,Maple Apartments (fka 537 - 541 N. Western Ave.),Koreatown Youth and Community Center,541 N WESTERN AVE CA 90004,4,false,Predevelopment,TBD,"Homeless individuals
Chronically homeless","6,614,118",,"30,997,101","484,330","103,346",64,63,,09/19/2021,,09/01/2022,0,false,10/15/2021,02/21/2022
17,Central Apartments,"Highridge Costa Development Company, LLC",2106 S CENTRAL AVE CA 90011,9,true,Predevelopment,TBD,"Homeless individuals
Homeless veterans
Chronically homeless","7,840,000",,"30,227,967","530,315","137,544",57,56,,04/19/2021,,04/19/2023,0,false,10/15/2021,02/21/2022
18,Chavez and Fickett,Abode Communities,338 N MATHEWS ST CA 90033,14,false,Predevelopment,TBD,"Homeless families
Homeless individuals
Chronically homeless","6,300,000",,"41,186,592","686,443","105,000",60,30,,06/01/2022,,06/01/2024,0,false,10/15/2021,02/21/2022
19,Hope on 6th,"1010 Development Corporation; Valued Housing II, LLC","576 W 6TH ST  SAN PEDRO, CA 90731",15,false,Predevelopment,TBD,"Homeless individuals
Homeless mental illness
Chronically homeless","6,040,000",,"28,615,371","583,987","123,265",49,31,,11/15/2021,,11/15/2023,0,false,10/15/2021,02/21/2022
20,Lincoln Apartments,Venice Community Housing Corporation,2467 S LINCOLN BLVD CA 90291,11,false,Predevelopment,TBD,"Homeless youth
Other homeless
Chronically homeless","5,460,000",,"19,537,023","488,426","136,500",40,39,,10/15/2021,,10/15/2023,0,false,10/15/2021,02/21/2022
21,Voltaire (fka Montesquieu Manor/Enlightenment Plaza-Phase II),Flexible PSH Solutions; The Pacific Companies,316 N JUANITA AVE CA 90004,13,true,Predevelopment,TBD,"Homeless individuals
Chronically homeless","9,940,000",,"32,726,000","448,301","136,164",73,72,,10/15/2021,,10/15/2023,0,false,10/15/2021,02/21/2022
22,The Palm Tree Motel (fka Sepulveda Apartments Preservation),Figueroa Economical Housing Development Corporation,8428 N SEPULVEDA BLVD CA 91343,6,false,Predevelopment,TBD,"Homeless individuals
Chronically homeless","10,500,000",,"29,821,884","392,393","138,158",76,75,,11/15/2021,,11/15/2023,0,false,10/15/2021,02/21/2022
23,Studio 6 Motel (fka Sherman Way Apartments Preservation),Figueroa Economical Housing Development Corporation,13561 W SHERMAN WAY 1-58 CA 91405,2,false,Predevelopment,TBD,"Homeless individuals
Chronically homeless","7,700,000",,"20,808,990","371,589","137,500",56,55,,11/15/2021,,11/15/2023,0,false,10/15/2021,02/21/2022
24,SOLA at 87th,"Innovative Housing Opportunities, Inc.",8707 S WESTERN AVE CA 90047,8,false,Predevelopment,TBD,"Homeless individuals
Homeless veterans
Chronically homeless","9,000,000",,"61,705,999","617,060","90,000",100,51,,12/01/2021,,12/01/2023,0,false,10/15/2021,02/21/2022
25,Thatcher Yard Housing,"Thomas Safran and Associates Development, Inc.",3233 S THATCHER AVE CA 90292,11,true,Predevelopment,TBD,"Homeless families
Homeless senior
Chronically homeless","11,660,000",,"54,684,712","558,007","118,980",98,49,,07/09/2021,,07/07/2023,0,false,10/15/2021,02/21/2022
26,The Main,"Abbey Road, Inc.",15302 W RAYEN ST CA 91343,6,false,Predevelopment,TBD,"Homeless families
Homeless youth 
Chronically homeless","6,795,000",,"41,018,669","640,917","106,172",64,33,,01/01/2022,,01/01/2024,0,false,10/15/2021,02/21/2022
27,The Rigby,"Abbey Road, Inc.",15314 W RAYEN ST CA 91343,6,false,Predevelopment,TBD,"Homeless families
Homeless youth 
Chronically homeless","6,795,000",,"41,970,484","655,789","106,172",64,33,,01/01/2022,,01/01/2024,0,false,10/15/2021,02/21/2022
28,Topanga Apartments,"Affirmed Housing Group, Inc.",10243 N TOPANGA CANYON BLVD CA 91311,12,false,Predevelopment,TBD,"Homeless individuals
Chronically homeless","7,560,000",,"25,775,924","468,653","137,455",55,54,,11/15/2021,,11/15/2023,0,false,10/15/2021,02/21/2022
